ID,Public Library Authorities,Country,ARCON CODE,Name of Library or Collection,"Address, including postcode",Lat,Lon,Main website,e-mail contact,Local Studies/Archive/Both 1,Notes on coverage combined
1,Barking and Dagenham,England,350,Barking and Dagenham Archives and Local Studies Service,"Archives and Local Studies Centre, Valence House Museum, Becontree Avenue, Dagenham, England, RM8 3HT",51.558308,0.134196,https://ww2.lbbd.gov.uk/residents/leisure-libraries-and-museums/history-heritage-and-archives/,localstudies@lbbd.gov.uk,Both,
2,Barnet,England,77,Barnet Local Studies and Archives,"The Burroughs, London, England, NW4 4BQ",53.74938065,-2.485284242,www.barnet.gov.uk/libraries/local-studies-and-archives ,library.archvies@barnet.gov.uk,Both,
3,Barnsley,England,196,Barnsley Archive and Local Studies Department,"Town Hall, Church Street, Barnsley, England, S70 2TA",53.55422085,-1.482728705,www.experience-barnsey.com/arcihves-and-discoverycentre ,archives@barnsley.gov.uk,Both,Plus museum
4,Bath and NE Somerset,England,256,Bath Record Office: Local Studies,"Bath Record Office: Archives & Local Studies, The Guildhall, High Street, Bath, England, BA1 5AW",51.381893,-2.358842,www.batharchives.co.uk,archives@bathnes.gov.uk,Both,Local Studies and Archive collections joined together in 2017.
5,Bedford,England,,Bedfordshire Heritage Library,"Central Library, Harpur Street, Bedford, MK40 1PG",52.1364382,-0.468046384,http://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.local_studies/beds_heritage_library.htm,Auto email,Local Studies,
6,Bexley,England,79,Bexley Local Studies and Archive Centre,"Central Library, Townley Road, Bexleyheath, England, DA6 7HJ",51.45585595,0.143677608,www.bexley.gov.uk/service/archives-and-local-history,archives@bexley.gov.uk,Both,
7,Birmingham,England,,The Library of Birmingham - Archives and Heritage,"Library of Birmingham, Centenary Square, Broad Street, Birmingham, B1 2ND",52.47968625,-1.908478277,https://www.birmingham.gov.uk/info/20087/libraries,archives.heritage@birmingham.gov.uk,Both,
8,Blackburn with Darwen,England,,Blackburn Libraries,"Blackburn Central Library, Town Hall Street, Blackburn, BB2 1AG ",53.74938065,-2.485284242,www.blackburn.gov.uk/pages/localhistory.aspx,library@blackburn.gov.uk,Local Studies,
9,Blackpool,England,,Blackpool History Centre,"The History Centre, 
First floor,
 Blackpool Central Library,
 Queen Street,
 Blackpool, 
 FY1 1PX",53.8206208,-3.053113654,www.blackpool.gov.uk/residents/libraries-arts-and-heritage/collection-and-archive/history.aspx,historycentre@blackpool.gov.uk,Local Studies,
10,Bolton,England,125,"Bolton Archives and Local Studies, Bolton History Centre","Bolton Archives and Local Studies,
Bolton History Centre,
Le Mans Crescent,
Bolton,
BL1 1SE",53.578495,-2.431135,www.bolton.gov.uk/discover-library/local-history,archives@bolton.gov.uk,Both,
11,Bournemouth,England,,Not clear,Not clear,,,Not clear,Not clear,Not clear,
12,Bracknell Forest,England,,Bracknell Central library,"Bracknell Library, The Avenue,Bracknell,RG12 1BH",51.41788625,-0.74790455,https://www.bracknell-forest.gov.uk/libraries/library-services/local-and-family-history/local-history-photographs,,Local Studies,
13,Bradford,England,2750,Bradford Local Studies Library,"Local Studies Library, Margaret McMillan Tower, Princes Way, Bradford. BD1 11N",53.790435,-1.754753,,,Local Studies,
14,Bradford,England,538,Keighley Local Studies Library,"Keighley Library, North Street, Keighley, BD21 3SX",53.86824225,-1.909973847,https://www.bradford.gov.uk/libraries/find-your-local-library/keighley-local-studies-library/,keighleylocalstudies@bradford.gov.uk,,
15,Brent,England,,Brent Museum and Archives,"The Library at Willesden Green, 95 High Road, Willesden, London, NW10 2SF",51.54682515,-0.228991902,,museum.archives@brent.gov.uk,Both,Plus museum service
